name,latitude,longitude
Corçà,41.98708,3.01718
CÓrcer,39.0672,-0.5637
Córdoba,37.888089,-4.789299
Cornellà de Llobregat,41.36207,2.07377
Coslada,40.350092,-3.831717
Crevillent,38.2437,-0.81125
Cubelles,41.20062747,1.668342046
Cuenca,40.05401,-2.12591
Cullera,39.180626,-0.263001
Cunit,41.199071,1.63659
Daimús,38.967298,-0.154656
Deltebre,40.724895,0.721001
Dénia,38.83911,0.0987
Dolores,,
Dos Hermanas,37.28711,-5.923869
Ecija,37.525209,-5.116233
EGÜÉS,42.80872,-1.58822
Ejea de los Caballeros,42.12212,-1.14284
El Alamo,40.23109,-3.97863
El Algar,37.652,-0.86741
El Campello,38.39983332,-0.406497363
El Catllar,41.1674,1.2743
Elche,39.495495,-0.695206
Elda,38.475044,-0.800576
El Escorial,,
El Masnou,41.4846,2.33648
El Palmar,37.950431,-1.155339
El Papiol,41.436847,2.016408
El Peral,39.50356,-1.89852
El Perelló,40.880594,0.716348
El Pont de Suert,42.40218,0.74243
El Prat de Llobregat,41.319155,2.083532
El Puerto de Mazarrón,37.560398,-1.269157
El Puerto de Santa María,36.59960146,-6.245535094
Els Prats de Rei,41.70483,1.53932
El Vendrell,41.232262,1.528217
El Verger,,
El Villar de Arnedo,42.31773,-2.09071
Elx,38.25568,-0.75048
Empuriabrava,42.26218,3.10091
Esclanyà,41.923876,3.169658
Esparreguera,41.54033,1.86582
Estella,42.67674,-2.035512
ESTELLA (NAVARRA),,
Estepa,37.294598,-4.87352
ESTERIBAR,,
EZCABARTE,,
Favara,39.12721,-0.29
Figueres,42.259478,2.953327
Finestrat,38.53219697,-0.172479726
Flix,41.231398,0.548016
Fondarella,41.63437,0.8764
Fontellas,42.023783,-1.579322
Fornells de la Selva,41.93296,2.79621
Fortuna,38.14957,-1.12323
Fraga,41.51878,0.32825
Fuengirola,36.5418,-4.62403
Fuenlabrada,40.28437072,-3.798210338
GALAR,42.790408,-1.638968
Gandia,38.96089,-0.17673
Garrapinillos,41.69943,-0.99635
Gata de Gorgos,38.77103,0.09244
Gavà,41.288563,2.016066
Gelida,41.443149,1.849533
GENERAL,,
Geria,41.565306,-4.862628
Gerona,,
Getafe,40.3097,-3.73379
Gijón,43.537606,-5.675082
Girona,41.958367,2.8099
Godelleta,39.427023,-0.682942
Golmayo,41.76843,-2.51718
Golmés,41.63003,0.90551
Granada,37.184041,-3.609125
Granollers,41.60337,2.2878
Guadalajara,40.64414887,-3.182164817
Guardamar del Segura,38.0795,-0.655087
Guardiola de Berguedà,42.22092,1.87198
Gurb,41.94495,2.24423
Haro,,
HOSPITALET DE LLOBRE,,
Hospitalet de Llobregat,41.364292,2.101056
Hostal de Ipiés,42.441301,-0.39473
Huarte,42.831855,-1.590468
Huelva,37.26619183,-6.953132942
Huesca,42.113394,-0.440134
Ibi,38.626618,-0.564808
Igualada,41.5809,1.60915
IGUALADA (BARCELONA),,
Illescas,40.1242,-3.83483
Inca,39.71036,2.90872
Jaca,42.577047,-0.528942
JAEN,37.78023,-3.790779
Jerez de la Frontera,36.679984,-6.126997
Jesús,40.823579,0.512452
Juià,42.033974,2.899589
Jumilla,38.484,-1.32158
Juneda,41.552,0.81806
La Almunia de Doña Godina,41.47099,-1.369439
La Batllòria,41.71986,2.54531
La Bisbal del Penedès,41.261714,1.494135
La Bisbal d'Empordà,41.95705,3.04571
La Cañada de San Urbano,36.85389,-2.387844
La Canonja,41.114716,1.186679
La Colilla,40.64172,-4.74076
La Garriga,41.67815,2.27962
La Granada,41.369674,1.727455
La Jonquera,42.42511,2.86739
Lakuntza,42.9202,-2.01875
La Lastrilla,40.965845,-4.09824
L'Aldea,40.751504,0.628763
L'Alfàs del Pi,38.57058609,-0.076715005
LA LINEA DE LA CONCEPCION,,
L'Alqueria de la Comtessa,38.94363,-0.15732
L'Ametlla del Vallès,41.66543,2.25909
L'Ametlla de Mar,40.894074,0.788907
La Muela,41.577154,-1.114469
La Murada (Orihuela),,
La Nucia,38.61509676,-0.10593739
La Pobla de Farnals,39.5610397,-0.288216715
La Pobla de Segur,42.25069,0.96565
La Pobla de Vallbona,39.57657,-0.52199
La Puebla de Alfinden,41.64284,-0.76058
L'Arboç,41.26328,1.60076
Lardero,42.433442,-2.450117
Laredo,43.40192,-3.43755
La Roca del Vallès,41.60087,2.29757
Las Cabezas de San Juan,36.976547,-5.948957
La Sénia,,
La Seu d'Urgell,42.3632,1.45573
Las Rozas,40.5523,-3.89691
La Vall d'en Bas,42.14257,2.45795
La Vall d'Uixó,39.81157,-0.2269
La Venta del Viso,36.79363,-2.694129
La Vila Joiosa,38.51853,-0.20562
Lebrija,36.91792,-6.055577
Leganés,40.34682,-3.76296
León,42.587648,-5.607791
Les,42.81294,0.70987
Les Borges Blanques,41.52255,0.86296
Les Cases d'Alcanar,40.554875,0.527977
Les Franqueses del Vallès,41.622,2.294
Les Preses,42.143232,2.458478
L'Hospitalet de l'Infant,40.99714,0.921282
L'Hospitalet de Llobregat,41.36363,2.08997
Librilla,37.887361,-1.358518
Linyola,41.706162,0.903509
Llançà,42.36504,3.15007
Lleida,41.611294,0.642478
Llers,42.29786,2.94101
Lliçà d'Amunt,41.60423,2.24081
Lliçà de Vall,41.5846,2.2568
Llinars del Vallès,41.64016,2.39314
Lloret de Mar,41.714338,2.830708
Llucmajor,39.482274,2.850338
Logroño,42.45905,-2.47984
LOGROÑO (LA RIOJA),,
Lorca,37.67801252,-1.693471383
Los Dolores de Cartagena,37.6418,-1.00339
Los Grillos de San Isidro,36.89482,-2.191311
Los Montesinos,38.028114,-0.740203
Los Palacios y Villafranca,37.17605,-5.925311
Los Partidores,36.842108,-2.427115
Luceni,41.825744,-1.242405
Lugonés,43.397814,-5.811896
Lutxana,,
Maçanet de la Selva,41.780661,2.739597
Madrid,40.44657314,-3.690497893
Majadahonda,,
Málaga,36.712226,-4.431106
Malgrat de Mar,41.649266,2.734979
Maliaño,,
Manacor,39.578096,3.211725
Manises,39.508639,-0.509259
Manlleu,42.00365,2.29518
Manresa,41.738857,1.822762
Manzanares,39.01734,-3.37317
Marbella,,
MARBELLA (MÁLAGA),,
Marchena,37.324387,-5.414168
María de Huerva,41.54503,-0.99
Martinet,42.35966,1.695923
Martorell,41.47644,1.92264
Martorelles,41.527604,2.227168
Masnou,,
Massamagrell,39.56516,-0.334
Massanassa,39.41271,-0.399523
Massanes,41.74557,2.65197
Mataró,41.554403,2.434979
Mazarrón,37.596475,-1.311596
Medinyà,42.045365,2.861804
Mejorada del Campo,40.39378,-3.49327
Mequinenza,41.36836,0.30039
MERIDA,3.890448,-6.981785
Miami-Platja,41.02456,0.956918
Mieres,,
Miranda de Ebro,42.694749,-2.955451
Molins de Rei,41.396656,2.03466
Mollet del Vallès,41.53352,2.20841
Monistrol de Montserrat,41.61736,1.84629
Montblanc,41.39177,1.13605
Montcada i Reixac,41.465634,2.17636
Montferrer i Castellbò,42.34726,1.4295
Montgat,41.46509,2.27092
Montornès del Vallès,41.55963,2.2614
Monzón,41.90669,0.18597
Móra d'Ebre,41.080148,0.640021
Móra la Nova,41.103027,0.644108
Morón de la Frontera,37.124557,-5.459948
Móstoles,40.330956,-3.882178
Motilla del Palancar,39.55442,-1.90289
Murcia,38.007496,-1.142879
Murcia/Alicante,,
Muro de Alcoy,38.78316,-0.44939
Navalcarnero,40.2939,-3.97833
Navàs,41.89695,1.86994
Níjar,36.956734,-2.206101
Noáin,42.75783,-1.633679
Novelda,38.381469,-0.768474
Nules,39.85738,-0.15162
Numancia de la Sagra,40.06974,-3.84741
Odena,41.577115,1.658754
Olèrdola,41.353524,1.734276
Olesa de Montserrat,41.542819,1.88589
Oliana,42.06316,1.31265
Olías del Rey,39.965349,-3.980243
Oliva,38.91449,-0.11363
Olot,42.199083,2.498915
Olvan,42.06726,1.87025
Onda,39.97038,-0.255809
Ondara,38.82542,0.01476
Onil,38.626976,-0.679879
Ontinyent,38.82448,-0.59046
Organyà,42.20549,1.32771
Orihuela,38.093828,-0.958061
Orihuela Costa,37.918633,-0.75501
ORKOIEN,,
Otero,40.02081,-4.516094
Ourense,42.350259,-7.872723
Oviedo,43.3586,-5.85722
Palafolls,41.66454,2.74913
Palafrugell,41.92764,3.15693
Palamós,41.862798,3.135041
Palau-solità i Plegamans,41.56183,2.18399
Palencia,42.004359,-4.514211
Pallejà,41.410339,2.002494
Palma de Mallorca,39.579033,2.627703
Pals,41.9798,3.1527
Pamplona,42.815721,-1.644328
Paracuellos de Jarama,40.4989,-3.54756
Paracuellos de Jiloca,41.320517,-1.64345
Parets del Vallès,41.567409,2.240957
Parla,40.24053,-3.75445
Paterna,39.513743,-0.431715
Pedreguer,,
Pedrola,,
Pelayos de la Presa,40.36786,-4.3129
Peñíscola,40.40745,0.38615
Piera,41.524845,1.74484
Pilar de la Horadada,37.859685,-0.779994
Piles,38.941017,-0.135696
Pineda de Mar,41.62342,2.67409
Pinto,,
Plasencia,40.0221943,-6.0994465
Platja D'Aro,,
Pobla de Farnals,39.566773,-0.295091
Polinyà,41.547384,2.160252
Polop,38.6230586,-0.132133774
Pontevedra,42.421722,-8.636375
Ponts,41.90821,1.19321
Porqueres,42.10371,2.78651
Portugalete,,
Pozuelo de Alarcón,,
Premià de Mar,41.48875,2.34923
Puente de la Reina,42.56092,-0.788999
Puerto de Sagunto,39.668427,-0.237809
PUERTO LUMBRERAS,,
Puigcerdà,42.43492,1.93606
Puzol,39.62035755,-0.306954719
Quel,42.233463,-2.056002
Quintana del Puente,42.084381,-4.210128
